xvals	y1	y1Noise	y2
0.1	0.004	0.004209409	9.15E-05
0.12589253	0.006339572	0.005850943	0.000189936
0.15848932	0.010047546	0.008854743	0.000359413
0.19952624	0.015924288	0.017549453	0.000797872
0.25118864	0.025238292	0.027670698	0.001615911
0.31622776	0.039999999	0.039951432	0.002776274
0.39810717	0.063395731	0.07500153	0.006054911
0.50118721	0.10047545	0.098037384	0.01195088
0.63095737	0.15924288	0.17214696	0.021063283
0.79432821	0.25238293	0.29674557	0.048539877
1	0.40000001	0.32861778	0.10378909
1.2589254	0.63395733	0.64019328	0.22526863
1.5848932	1.0047547	0.95172352	0.40819865
1.9952623	1.5924286	1.8141072	0.93416262
2.5118864	2.5238292	2.311115	1.8459373
3.1622777	4	3.8250747	3.5508475
3.9810717	6.3395729	6.9645166	5.8895817
5.0118723	10.047545	9.7475491	15.371922
6.3095737	15.924288	15.577075	27.856098
7.9432821	25.238293	24.048998	57.429226
10	40	39.56311	88.525017
